name,url,year_founded,city,state,full_time_employees,type,company_category,revenue_source,business_model
Weather Decision Technologies,http://www.wdtinc.com/,1999,Norman,OK,51-200,Private,Environment & Weather,Not reported by company,Business to Business
Import.io,http://import.io,2012,San Francisco,CA,11-50,Private,Data/Technology,"Database licensing, sell data sets","Business to Business, Business to Consumer"
The Govtech Fund,www.govtechfund.com,2014,San Francisco,CA,NA,Private,Finance & Investment,Not reported by company,NA
"StreetCred Software, Inc",streetcredsoftware.com,2012,Southlake,TX,11-50,Private,Governance,"Software licensing, Subscriptions",Business to Government
Biovia,http://accelrys.com,2001,San Diego,CA,NA,Public,Scientific Research,Not reported by company,Business to Business
Cloudmade,http://cloudmade.com,2007,Menlo Park,CA,51-200,Private,Geospatial/Mapping,Not reported by company,Business to Business
"Expert Health Data Programming, Inc.",http://www.ehdp.com/,1997,Bellevue,WA,1-10,Private,Healthcare,Software licensing,"Business to Business, Business to Government"
Robinson + Yu,http://www.robinsonyu.com,2011,NA,DC,NA,NA,Research & Consulting,Not reported by company,NA
The Schork Report,schorkreport.com,2005,Villanova,PA,1-10,Private,Energy,Subscriptions,Business to Business
MarketSense,http://www.marketsense.com/,2013,Sammamish,WA,1-10,Private,Business & Legal Services,"Data analysis for clients, Database licensing",Business to Business
Allianz,http://www.allianzusa.com,1896,New York,NY,"10,001+",Public,Finance & Investment,Not reported by company,Business to Consumer
The Vanguard Group,http://www.vanguard.com/,1975,Valley Forge,PA,"10,001+",Private,Finance & Investment,Not reported by company,NA
Captricity,captricity.com,2011,Berkeley,CA,1-10,Private,Data/Technology,"Subscriptions, User fees for web or mobile access, Monthly and Annual Subscriptions, Pay as You Go, Professional Services","Business to Business, Business to Consumer"
Lawdragon,lawdragon.com,2005,New York,NY,11-50,Private,Business & Legal Services,"Advertising, Data analysis for clients, Database licensing, Subscriptions",Business to Business
Noesis,https://www.noesisenergy.com/site/,1986,Austin,TX,11-50,Private,Energy,Not reported by company,Business to Business
Mozio,http://www.mozio.com/,2011,NA,CA,11-50,Private,Transportation,Not reported by company,Business to Business
POPVOX,popvox.com,2010,Redwood City,CA,1-10,Private,Governance,"Data analysis for clients, Database licensing","Business to Business, nonprofit"
Next Step Living,http://www.nextstepliving.com,2008,Boston,MA,"501-1,000",Private,Energy,Not reported by company,NA
SpaceCurve,www.spacecurve.com,2009,Seattle,WA,11-50,Private,Data/Technology,not reported by company,"Business to Business, Business to Government"
Climate Corporation,http://www.climate.com,2007,San Francisco,CA,51-200,Public,Food & Agriculture,Software licensing,Business to Business
Nautilytics,http://www.nautilytics.com,2013,Boston,MA,1-10,partnership,Data/Technology,Not reported by company,"Business to Business, Business to Consumer"
GitHub,https://github.com,2008,San Francisco,CA,201-500,Private,Data/Technology,Not reported by company,"Business to Business, Business to Consumer, Business to Government,"
Knoema,http://knoema.com/,2011,Washington,DC,51-200,Private,Data/Technology,Not reported by company,Business to Consumer
CAN Capital,http://www.cancapital.com/,1998,New York,NY,201-500,Private,Finance & Investment,Financial Products and Services,Business to Business
Headlight,HeadlightData.com,2011,Austin,TX,1-10,Private,Data/Technology,"Government contract, Software licensing, Subscriptions","Business to Government, Business to Nonprofit"
"College Abacus, an ECMC initiative",https://collegeabacus.org,1994,Washington,DC,"501-1,000",Nonprofit,Finance & Investment,No revenue; this is an ECMC non-profit initiative.,NA
OptumInsight,http://www.optuminsight.com,1993,Eden Prairie,MN,"10,001+",Public,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Civis Analytics,http://civisanalytics.com/,2013,West Loop,IL,51-200,Private,Data/Technology,Not reported by company,"Business to Business, Business to Government, nonprofit"
Exversion,https://exversion.com,2013,NA,NY,1-10,Private,Data/Technology,User fees for web or mobile access,Business to Business
Dabo Health,https://www.dabohealth.com/#/,2011,Menlo Park,CA,11-50,Private,Healthcare,Software licensing,Business to Consumer
Boston Consulting Group,http://www.bcg.com,1963,Boston,MA,"5,001-10,000",Private,Research & Consulting,Not reported by company,Business to Business
Cerner,http://www.cerner.com,1979,North Kansas City,MO,"10,001+",Public,Healthcare,Not reported by company,Business to Business
TrustedID,https://www.trustedid.com/,2005,Palo Alto,CA,51-200,Private,Lifestyle & Consumer,Not reported by company,"Business to Business, Business to Consumer"
Wolfram Research,http://www.wolfram.com/,1987,Champaign,IL,"501-1,000",Private,Data/Technology,Not reported by company,NA
Unigo LLC,www.unigo.com,2008,New York,NY,11-50,Private,Education,not reported by company,Business to Consumer
Impact Forecasting (Aon),http://www.aon.com/impactforecasting/impact-forecasting.jsp,1987,Chicago,IL,"10,001+",Public,Insurance,Not reported by company,Business to Business
Parsons Brinckerhoff,www.pbworld.com,1885,New York,NY,"10,001+",Private,Transportation,Consulting,NA
WeMakeItSafer,http://wemakeitsafer.com/,2009,Oakland,CA,1-10,Private,Lifestyle & Consumer,Not reported by company,Business to Consumer
"Lumesis, Inc.",www.lumesis.com,2010,Stamford,CT,11-50,Private,Data/Technology,"Subscriptions, Software licensing, Data analysis for clients, Database licensing",NA
Abt Associates,abtassoc.com,1965,Cambridge,MA,"1,001-5,000",Private,Research & Consulting,"Data analysis for clients, Database licensing",NA
Patently-O,www.patentlyo.com,2004,Columbia,MO,1-10,Private,Media,Advertising,"Business to Business, Business to Consumer"
Ensco,http://www.enscoplc.com/Home/default.aspx,1987,Falls Church,VA,"5,001-10,000",Public,Energy,Not reported by company,Business to Business
