"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 00:00","2023","05","01","00:00","","8.2","","5.2","","81","","","","7","","46","","16.1","","99.21","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 01:00","2023","05","01","01:00","","8.7","","5.5","","80","","","","7","","43","","16.1","","99.09","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 02:00","2023","05","01","02:00","","8.4","","6.0","","84","","","","7","","48","","12.9","","98.87","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 03:00","2023","05","01","03:00","","8.6","","6.0","","83","","","","7","","46","","16.1","","98.75","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 04:00","2023","05","01","04:00","","9.2","","6.1","","81","","","","7","","54","","16.1","","98.57","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 05:00","2023","05","01","05:00","","8.7","","6.4","","85","","","","7","","50","","24.1","","98.45","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 06:00","2023","05","01","06:00","","8.8","","6.0","","83","","","","7","","57","","24.1","","98.24","","","","","","Rain"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 07:00","2023","05","01","07:00","","8.0","","7.0","","94","","","","7","","50","","2.0","","98.17","","","","","","Moderate Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 08:00","2023","05","01","08:00","","7.6","","6.9","","96","","","","7","","49","","4.8","","98.09","","","","","","Moderate Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 09:00","2023","05","01","09:00","","7.5","","6.7","","95","","","","6","","50","","12.9","","98.00","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 10:00","2023","05","01","10:00","","8.0","","6.9","","93","","","","7","","53","","4.8","","97.92","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 11:00","2023","05","01","11:00","","8.0","","7.4","","96","","","","6","","51","","3.6","","97.83","","","","","","Heavy Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 12:00","2023","05","01","12:00","","9.1","","7.5","","90","","","","6","","58","","16.1","","97.74","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 13:00","2023","05","01","13:00","","9.5","","8.4","","93","","","","7","","51","","12.9","","97.71","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 14:00","2023","05","01","14:00","","8.2","","7.1","","92","","","","23","","48","","8.1","","98.05","","","","","","Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 15:00","2023","05","01","15:00","","7.2","","6.3","","94","","","","22","","25","","8.1","","98.36","","","","","","Moderate Rain Showers,Fog"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 16:00","2023","05","01","16:00","","9.2","","6.5","","83","","","","22","","19","","48.3","","98.48","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 17:00","2023","05","01","17:00","","9.4","","6.2","","80","","","","22","","9","","48.3","","98.61","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 18:00","2023","05","01","18:00","","9.7","","5.8","","76","","","","22","","4","","48.3","","98.69","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 19:00","2023","05","01","19:00","","6.7","","5.3","","91","","","","","","0","","48.3","","98.76","","","","","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 20:00","2023","05","01","20:00","","6.8","","5.5","","91","","","","3","","10","","24.1","","98.82","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 21:00","2023","05","01","21:00","","4.8","","3.9","","94","","","","4","","10","","24.1","","98.86","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 22:00","2023","05","01","22:00","","5.5","","4.4","","93","","","","6","","21","","24.1","","98.88","","","","","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-01 23:00","2023","05","01","23:00","","5.8","","4.0","","88","","","","8","","23","","24.1","","98.87","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 00:00","2023","05","02","00:00","","6.2","","4.2","","87","","","","7","","17","","24.1","","98.89","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 01:00","2023","05","02","01:00","","6.5","","5.8","","96","","","","7","","18","","16.1","","98.98","","","","","","Rain Showers"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 02:00","2023","05","02","02:00","","6.3","","5.5","","94","","","","7","","22","","24.1","","98.95","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 03:00","2023","05","02","03:00","","6.4","","5.6","","95","","","","7","","26","","24.1","","98.92","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 04:00","2023","05","02","04:00","","6.3","","5.5","","95","","","","7","","17","","16.1","","98.94","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 05:00","2023","05","02","05:00","","6.7","","5.8","","94","","","","7","","24","","24.1","","98.99","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 06:00","2023","05","02","06:00","","6.9","","5.9","","94","","","","7","","25","","32.2","","99.02","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 07:00","2023","05","02","07:00","","7.3","","6.2","","93","","","","8","","23","","32.2","","99.04","","","","","","Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 08:00","2023","05","02","08:00","","8.3","","6.8","","91","","","","7","","27","","32.2","","99.05","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 09:00","2023","05","02","09:00","","8.6","","6.9","","89","","","","7","","26","","32.2","","99.06","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 10:00","2023","05","02","10:00","","10.1","","7.3","","83","","","","7","","33","","48.3","","99.05","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 11:00","2023","05","02","11:00","","11.0","","7.1","","77","","","","6","","38","","32.2","","99.03","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 12:00","2023","05","02","12:00","","12.5","","7.7","","73","","","","6","","37","","32.2","","99.00","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 13:00","2023","05","02","13:00","","10.3","","6.3","","76","","","","6","","43","","32.2","","99.00","","","","","","Mostly Cloudy"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 14:00","2023","05","02","14:00","","10.9","","6.7","","75","","","","6","","41","","32.2","","98.97","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 15:00","2023","05","02","15:00","","11.2","","6.9","","75","","","","7","","43","","48.3","","98.97","","","","","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2023-05-02 16:00","2023","05","02","16:00","","10.1","","6.2","","77","","","","7","","46","","24.1","","98.99","","","","","","Mostly Cloudy"
