"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 00:00","2025","02","01","00:00","","-11.4","","-15.7","","71","","","","36","","10","","12.9","","100.27","","","","-17","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 01:00","2025","02","01","01:00","","-12.0","","-16.5","","69","","","","2","","10","","9.7","","100.30","","","","-18","","Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 02:00","2025","02","01","02:00","","-13.7","","-19.6","","62","","","","1","","12","","24.1","","100.38","","","","-20","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 03:00","2025","02","01","03:00","","-14.9","","-21.0","","60","","","","36","","8","","24.1","","100.46","","","","-20","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 04:00","2025","02","01","04:00","","-15.6","","-21.2","","63","","","","1","","9","","24.1","","100.48","","","","-22","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 05:00","2025","02","01","05:00","","-16.4","","-21.7","","64","","","","36","","7","","24.1","","100.60","","","","-21","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 06:00","2025","02","01","06:00","","-17.0","","-22.1","","65","","","","36","","4","","24.1","","100.68","","","","-20","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 07:00","2025","02","01","07:00","","-18.2","","-23.3","","65","","","","30","","7","","48.3","","100.82","","","","-24","","Mainly Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 08:00","2025","02","01","08:00","","-16.7","","-23.1","","58","","","","32","","11","","48.3","","100.94","","","","-24","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 09:00","2025","02","01","09:00","","-16.0","","-23.7","","52","","","","31","","9","","48.3","","101.04","","","","-22","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 10:00","2025","02","01","10:00","","-15.8","","-24.4","","48","","","","28","","17","","48.3","","101.14","","","","-24","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 11:00","2025","02","01","11:00","","-16.2","","-24.3","","50","","","","27","","23","","48.3","","101.25","","","","-26","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 12:00","2025","02","01","12:00","","-15.4","","-24.3","","47","","","","28","","13","","48.3","","101.31","","","","-23","","NA"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 13:00","2025","02","01","13:00","","-14.8","","-23.9","","47","","","","28","","18","","48.3","","101.43","","","","-23","","Clear"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 14:00","2025","02","01","14:00","","-14.2","","-23.6","","46","","","","30","","14","","48.3","","101.53","","","","-22","","Blowing Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 15:00","2025","02","01","15:00","","-14.8","","-23.4","","49","","","","27","","16","","48.3","","101.67","","","","-23","","Blowing Snow"
"-71.39","46.79","QUEBEC INTL A","7016293","2025-02-01 16:00","2025","02","01","16:00","","-15.6","","-23.9","","50","","","","27","","19","","48.3","","101.78","","","","-25","","Clear"
